Time,Height,HeightError,MaxWidth,MaxWidthError,VelocityInst,VelocityInstError,VelocityAvg,VelocityAvgError,AccelerationInst,AccelerationInstError,AccelerationAvg,AccelerationAvgError
90,1151.82077038747,138.258579373225,889.918627198217,125.099424104367,9.71221178514588,276.227208223861,12.7980085598608,1.53620643748028,0.00891394808149926,0.579627268799641,0.142200095109565,0.0170689604164476
91,1171.27209158873,138.839306483211,884.661140077169,125.52113540697,19.4513212012525,277.097885856437,12.8711218855904,1.52570666465067,9.73910941610666,0.87067763257528,0.141440899841653,0.0167660073038535
92,1181.011279201,139.130085447839,893.738417286671,125.788545923238,9.7391876122756,277.96939193105,12.83707912175,1.51228353747651,-9.71213358897694,0.87150607461399,0.139533468714674,0.0164378645377882
93,1200.51690485491,139.712480167863,902.809708476858,126.055786781356,19.5056256539119,278.842565615702,12.9087839231711,1.50228473298778,9.76643804163632,0.873173684651874,0.138804128206141,0.0161535992794384
94,1210.28342182814,140.004098323314,902.447421445257,126.333215224927,9.76651697322268,279.716578491177,12.8753555513632,1.48940530131185,-9.73910868068924,0.874012875474591,0.136971867567693,0.0158447372479984
95,1220.05912772665,140.29599861551,909.10561461808,117.827192655094,9.77570589850939,280.300096938824,12.8427276602805,1.47679998542642,0.00918892528670767,0.583518447646838,0.135186606950321,0.0155452630044886
96,1239.63826553293,140.880650452771,909.696167009329,127.985308186375,19.5791378062818,281.176649068281,12.9128985993013,1.4675067755497,9.80343190777239,0.876552129457195,0.134509360409389,0.015286528911976
97,1249.44177737241,141.173404428929,918.737986974387,128.251714076121,9.80351183948505,282.0540548817,12.880843065695,1.45539592194772,-9.77562596679672,0.877405813418591,0.132792196553556,0.0150040816695641
98,1269.07688770588,141.75977460359,927.774003965199,128.517955622522,19.6351103334659,282.933179032519,12.9497641602641,1.44652831228153,9.83159849398089,0.87912415081928,0.132140450614939,0.0147604929824646
99,1278.90856689661,142.053393256929,938.149283124173,117.512753241629,9.83167919073458,283.813167860519,12.918268352491,1.434882760171,-9.80343114273137,0.879988828000251,0.130487559116071,0.0144937652542525
100,1288.74971611622,142.3473025975,958.992666861031,119.588535325268,9.84114921960736,284.400695854429,12.8874971611622,1.423473025975,0.00947002887278359,0.587527993909589,0.128874971611622,0.01423473025975
101,1308.46058746095,142.935998294244,968.518701895124,119.577011770285,19.7108713447342,285.283300891744,12.9550553213956,1.41520790390341,9.86972212512683,0.882605037315443,0.128267874469263,0.0140119594445882
102,1318.33039132321,143.230787137536,985.51268769428,120.953479129655,9.86980386225969,286.16678543178,12.9248077580707,1.40422340330918,-9.8410674824745,0.883484540036306,0.126713801549713,0.0137668961108743
103,1338.09894076121,143.821253062504,995.021459980158,120.941746895333,19.7685494379953,287.05204020004,12.9912518520506,1.39632284526703,9.89874557573557,0.885254768259756,0.126128658757773,0.0135565324783207
104,1352.95083939177,144.264884661998,994.608107824979,121.221403986278,14.8518986305594,288.086137724502,13.0091426864593,1.38716235251921,-4.91665080743587,1.03409752446169,0.125087910446724,0.013338099543454
105,1367.82473920677,144.709191415792,1003.28200955846,121.768614413018,14.8738998150029,288.97407607779,13.0269022781597,1.37818277538849,0.0220011844435248,0.887938353287609,0.124065735982474,0.0131255502417952
106,1377.75296477729,145.00577311903,1002.04136244896,122.606312062553,9.92822557051659,289.714964534822,12.997669479031,1.36797899168896,-4.94567424448633,0.74088845703227,0.122619523387085,0.0129054621857449
107,1387.69107307158,145.302658069508,1006.99185585054,122.46087592795,9.93810829428867,290.308431188538,12.9690754492671,1.35796876700474,0.00988272377207977,0.59346665371595,0.121206312609973,0.0126912968878948
108,1407.59710602411,145.897342832834,1009.04890512438,124.267057445445,19.906032952535,291.200000902342,13.0333065372603,1.35090132252624,9.96792465824637,0.891569713803847,0.120678764233892,0.0125083455789467
109,1417.56511512535,146.195145216766,1013.16354815008,124.678731926107,9.96800910123602,292.0924880496,13.0051845424344,1.341239864374,-9.93802385129902,0.892487147258635,0.119313619655361,0.0123049528841652
110,1427.54317583791,146.493255990156,1018.51327999023,124.25531589978,9.97806071255809,292.688401206922,12.9776652348901,1.33175687263778,0.0100516113220692,0.595913157322002,0.117978774862637,0.0121068806603435
111,1447.52962252529,147.090407895332,1022.62258201151,124.666976351063,19.9864466873837,293.583663885488,13.0408074101378,1.32513880986786,10.0083859748256,0.895262678565814,0.117484751442682,0.011938187476287
112,1457.53809406884,147.389451633136,1035.76448067869,125.344644211043,10.0084715435487,294.479859528468,13.0137329827575,1.31597724672443,-9.97797514383501,0.896195642979819,0.116194044488906,0.0117497968457538
113,1477.58574854957,147.988481227484,1039.4430335089,126.033535007615,20.0476544807325,295.37793286062,13.0759800756599,1.30963257723438,10.0391829371838,0.898073332152535,0.115716637837698,0.011589668825083
114,1487.62501791657,148.288469716768,1041.87111919952,127.553946731824,10.0392693670001,296.276950944252,13.0493422624261,1.30077605014708,-10.0083851137324,0.899018083631745,0.114467914582685,0.0114103162293604
115,1497.67463989657,148.588775763457,1050.87575881846,127.819300045571,10.0496219799993,296.877245480225,13.0232577382311,1.29207631098658,0.0103526129992133,0.60029453597258,0.113245719462879,0.011235446182492
